bucket,path,clicks,impressions,ctr,position
"School Profiles (/schools/*)","/schools/college-of-the-mainland-texas-city-dbf2c952",1,61,1.64,7.0
"School Profiles (/schools/*)","/schools/brazen-beauty-academy-san-antonio-77ba9960",0,61,0.00,7.5
"School Profiles (/schools/*)","/schools/man-barbershop-academy-mcallen-f09d575f",0,61,0.00,4.6
"School Profiles (/schools/*)","/schools/ogle-school-hair-skin-nails-houston-b6bcf873",2,60,3.33,10.3
"School Profiles (/schools/*)","/schools/lee-college-cosmetology-baytown-eae680a6",1,60,1.67,10.2
"School Profiles (/schools/*)","/schools/trendz-barber-academy-lubbock-ee4d320b",1,60,1.67,8.9
"School Profiles (/schools/*)","/schools/paul-mitchell-the-barber-school-san-antonio-0726213e",0,60,0.00,11.6
"School Profiles (/schools/*)","/schools/sleeping-beauty-lash-institute-salon-llc-austin-7d8fbd7e",0,59,0.00,9.2
"School Profiles (/schools/*)","/schools/texasfadez-barber-college-oakcliff-dallas-1d5fb3e3",0,59,0.00,9.6
"School Profiles (/schools/*)","/schools/vogue-college-san-antonio-san-antonio-70a0aaa1",0,59,0.00,11.3
"School Profiles (/schools/*)","/schools/dallas-barber-and-stylist-college-arlington-d0d9994f",0,58,0.00,9.4
"School Profiles (/schools/*)","/schools/heights-beauty-college-pasadena-288e0eec",1,57,1.75,6.9
"School Profiles (/schools/*)","/schools/wade-gordon-hairdressing-academy-amarillo-3978a308",1,57,1.75,9.7
"School Profiles (/schools/*)","/schools/360-degrees-beauty-academy-1-inc-houston-d4ea7c83",0,57,0.00,12.8
"School Profiles (/schools/*)","/schools/the-beauty-point-academy-san-antonio-e6860309",0,57,0.00,8.5
"School Profiles (/schools/*)","/schools/graham-s-barber-college-dallas-8ed1aa54",1,56,1.79,8.2
"School Profiles (/schools/*)","/schools/houston-training-schools-inc-houston-eef29938",1,56,1.79,15.9
"School Profiles (/schools/*)","/schools/midland-college-midland-b5ddae77",1,56,1.79,10.2
"School Profiles (/schools/*)","/schools/a-m-barber-academy-fort-worth-fort-worth-4a4f3911",0,56,0.00,10.1
"School Profiles (/schools/*)","/schools/houston-barber-school-houston-846273a2",0,54,0.00,8.7
"School Profiles (/schools/*)","/schools/lashing-out-ink-academy-llc-harker-heights-ff01c3b2",0,54,0.00,9.2
"School Profiles (/schools/*)","/schools/v-s-vogue-beauty-academy-grand-prairie-cdac4880",0,54,0.00,9.0
"Insight Articles (/insights/*)","/insights/booth-rental-contract-requirements-texas",0,53,0.00,9.3
"School Profiles (/schools/*)","/schools/academy-of-aesthetics-and-laser-flower-mound-69d97a36",0,53,0.00,8.2
"School Profiles (/schools/*)","/schools/allure-academy-llc-henderson-87a6c60b",0,53,0.00,9.8
"School Profiles (/schools/*)","/schools/paul-mitchell-the-school-san-antonio-san-antonio-b469e84d",0,53,0.00,14.3
"School Profiles (/schools/*)","/schools/the-hair-academy-odessa-125925d3",0,53,0.00,5.9
"School Profiles (/schools/*)","/schools/tre-s-barber-institute-austin-3f5af657",0,53,0.00,9.8
"School Profiles (/schools/*)","/schools/dallas-barber-and-stylist-college-dallas-79a22e6d",0,52,0.00,9.0
"School Profiles (/schools/*)","/schools/diamond-beauty-academy-llc-garland-8085fd80",0,52,0.00,9.7
"School Profiles (/schools/*)","/schools/impact-barber-academy-south-texas-llc-corpus-christi-f9695c35",0,52,0.00,6.7
"School Profiles (/schools/*)","/schools/ibeauty-academy-llc-longview-3388f23f",0,51,0.00,5.4
"School Profiles (/schools/*)","/schools/weatherford-college-wise-county-bridgeport-94347fd9",0,51,0.00,9.5
"School Profiles (/schools/*)","/schools/state-barber-cosmetology-school-fort-worth-b51cf924",1,50,2.00,16.3
"School Profiles (/schools/*)","/schools/the-lbl-beauty-academy-irving-2526f2a8",1,50,2.00,11.0
"School Profiles (/schools/*)","/schools/dallas-blends-barber-academy-garland-dallas-60c8b0f6",0,50,0.00,12.3
