path,clicks,impressions,ctr,position
"/salons/frequency-salon-houston-a981ebed",0,134,0.00,9.4
"/salons/salon-bugatti-the-woodlands-839ba181",0,134,0.00,7.7
"/schools/lubbock-hair-academy-lubbock-14750caf",0,134,0.00,8.8
"/schools/william-edge-institute-new-braunfels-a0916eeb",0,134,0.00,8.7
"/stores/beauty-kit-solutions-houston-77099-0baffacf",0,134,0.00,9.4
"/salons/j-n-hair-salon-houston-befae62a",1,133,0.75,7.6
"/shop/fades-by-cam-barbershop-conroe-e9cda399",1,133,0.75,7.1
"/salons/4-u-hair-salon-houston-37a761f1",0,133,0.00,7.5
"/salons/bella-ga-a-hydration-head-spa-houston-a7d96d07",0,133,0.00,18.3
"/stores/quarter-to-ten-austin-b63d0cb5",0,133,0.00,8.1
"/stores/ulta-beauty-houston-77057-777a750a",0,133,0.00,11.1
"/salons/o-r-dominican-hairstylist-houston-219e7310",0,132,0.00,6.2
"/salons/rejuvenate-hair-studio-houston-723daddb",0,132,0.00,8.0
"/schools/versatile-barber-beauty-academy-huntsville-67d22780",0,132,0.00,9.5
"/stores/007-beauty-supply-houston-77093-3f5f8c2f",0,132,0.00,4.0
"/stores/beauty-island-houston-77090-01040987",2,131,1.53,3.7
"/salons/sameeta-s-spa-salon-houston-13b6c969",0,131,0.00,3.6
"/salons/touch-of-essence-beauty-supply-houston-a35f03e7",0,131,0.00,6.9
"/salons/ty-salon-houston-3287821d",0,131,0.00,8.2
"/stores/supreme-hair-and-beauty-mesquite-dallas-76b3c07a",0,131,0.00,8.6
"/salons/posh-salon-friendswood-houston-f3cfbae4",0,130,0.00,7.1
"/salons/sok-salon-on-kirby-houston-2be6d0c7",0,130,0.00,8.9
"/salons/ulta-beauty-baytown-5dd39ac8",0,130,0.00,8.2
"/schools/chi-lonestar-college-houston-e0c516aa",0,130,0.00,8.3
"/schools/epcc-cosmetology-program-salon-el-paso-5f26d2d3",5,129,3.88,9.0
"/salons/ml2-hair-design-in-dunhuang-houston-ada9740c",0,129,0.00,9.0
"/stores/ebony-beauty-mart-austin-abe3e242",0,129,0.00,7.5
"/salons/the-beauty-bar-houston-4716a0c1",1,128,0.78,9.2
"/salons/up-close-beauty-max-llc-houston-5002d284",0,128,0.00,5.2
"/stores/ulta-beauty-houston-77098-6da7bb57",0,128,0.00,9.7
"/salons/diva-s-salon-spa-houston-4119c608",1,127,0.79,8.4
"/salons/nina-hair-salon-houston-f9245ee2",1,127,0.79,8.2
"/salons/ruby-s-salon-spa-west-bellfort-houston-f5092a10",1,127,0.79,7.6
"/salons/carmen-s-beauty-salon-houston-2f01159c",0,127,0.00,8.8
"/salons/shine-salon-houston-houston-7638ed34",0,127,0.00,16.7
"/schools/boss-nail-academy-richardson-6f71e68a",0,127,0.00,5.4
"/salons/cost-cutters-houston-6c0f80ed",0,126,0.00,10.5
"/salons/jj-s-hair-salon-houston-1ff582df",0,126,0.00,7.7
