bucket,name,city,target_table,licenses
"seed","DESIGN'S SCHOOL OF COSMETOLOGY","PASO ROBLES","agent_cosmetology_school_leads","cosmetology:11/13; esthetics:10/10"
"seed","DIAMOND BEAUTY COLLEGE","SOUTH EL MONTE","agent_cosmetology_school_leads","cosmetology:8/8; manicuring:8/9"
"seed","DIVA BEAUTY SCHOOL","SAN JOSE","agent_cosmetology_school_leads","cosmetology:5/6; esthetics:6/8; manicuring:27/38"
"seed","DIVINA COSMETOLOGY & BARBERING ACADEMY","VACAVILLE","agent_cosmetology_school_leads","cosmetology:1/2"
"seed","EAST LOS ANGELES OCCUPATIONAL CENTER","LOS ANGELES","agent_cosmetology_school_leads","cosmetology:3/3"
"seed","EL CAMINO COLLEGE, COSMETOLOGY DEPARTMEN","TORRANCE","agent_cosmetology_school_leads","cosmetology:2/3; esthetics:1/3"
"seed","ELITE COSMETOLOGY SCHOOL","PALM DESERT","agent_cosmetology_school_leads","cosmetology:4/7; esthetics:3/4"
"seed","ESTES INSTITUTE OF COSMETOLOGY ARTS & SC","VISALIA","agent_cosmetology_school_leads","cosmetology:1/2; manicuring:1/2"
"seed","FREMONT BEAUTY COLLEGE","FREMONT","agent_cosmetology_school_leads","cosmetology:2/4; esthetics:1/3; manicuring:4/6"
"seed","FULLERTON COLLEGE, COSMETOLOGY DEPARTMEN","FULLERTON","agent_cosmetology_school_leads","cosmetology:26/35"
"seed","GAVILAN COLLEGE","GILROY","agent_cosmetology_school_leads","cosmetology:12/15"
"seed","GEORGIKOT ACADEMY USA","WOODLAND HILLS","agent_cosmetology_school_leads","cosmetology:1/1; esthetics:2/3; manicuring:3/3"
"seed","GLAMHOUSE BEAUTY ACADEMY","LOS ANGELES","agent_cosmetology_school_leads","cosmetology:1/1; manicuring:1/1"
"seed","GOLDEN WEST COLLEGE","HUNTINGTON BEACH","agent_cosmetology_school_leads","cosmetology:13/17; esthetics:14/14"
"seed","HESPERIA ALTERNATIVE EDUCATION CENTER, C","HESPERIA","agent_cosmetology_school_leads","cosmetology:1/1; manicuring:3/3"
"seed","HILLTOP BEAUTY SCHOOL","DALY CITY","agent_cosmetology_school_leads","cosmetology:3/9; manicuring:6/12"
"seed","HOSS LEE ACADEMY","ROSEVILLE","agent_cosmetology_school_leads","cosmetology:17/18; esthetics:21/23"
"seed","INSTITUTE OF TECHNOLOGY","CLOVIS","agent_cosmetology_school_leads","cosmetology:7/8"
"seed","INTERNATIONAL COLLEGE OF BEAUTY, ARTS &","LOS ANGELES","agent_cosmetology_school_leads","cosmetology:2/2; esthetics:7/7; manicuring:1/1"
"seed","JD ACADEMY OF SALON AND SPA","DANVILLE","agent_cosmetology_school_leads","cosmetology:9/9; esthetics:7/9"
"seed","JLC BEAUTY SCHOOL","CITY OF INDUSTRY","agent_cosmetology_school_leads","cosmetology:9/9; esthetics:2/2; manicuring:8/8"
"seed","KC BEAUTY ACADEMY","LOS ANGELES","agent_cosmetology_school_leads","cosmetology:1/2; esthetics:3/4"
"seed","LANEY COLLEGE","OAKLAND","agent_cosmetology_school_leads","cosmetology:5/6"
"seed","LAWRENCE & COMPANY COLLEGE OF COSMETOLOG","HANFORD","agent_cosmetology_school_leads","cosmetology:1/3; manicuring:6/6"
"seed","LC BEAUTY COLLEGE","UPLAND","agent_cosmetology_school_leads","cosmetology:0/1; manicuring:1/1"
"seed","LEXXUS SCHOOL OF COSMETOLOGY & BARBERING","FAIRFIELD","agent_cosmetology_school_leads","cosmetology:1/1"
"seed","LYLE'S COLLEGE OF BEAUTY","BAKERSFIELD","agent_cosmetology_school_leads","cosmetology:7/9; manicuring:9/10"
"seed","LYLE'S COLLEGE OF BEAUTY","FRESNO","agent_cosmetology_school_leads","cosmetology:4/4; esthetics:2/3; manicuring:4/5"
"seed","LYTLE'S REDWOOD EMPIRE BEAUTY COLLEGE, I","SANTA ROSA","agent_cosmetology_school_leads","cosmetology:2/3; esthetics:6/7"
"seed","MAIQUELA'S COSMETOLOGY ACADEMY","SOUTH GATE","agent_cosmetology_school_leads","cosmetology:1/3; manicuring:0/1"
