page,clicks,impressions,ctr_pct,position
"https://agency.innergcomplete.com/schools/acc-academy-of-cosmetology-lubbock-a97d9823",2,39,5.13,7.7
"https://agency.innergcomplete.com/schools/alamo-city-barber-college-san-antonio-8f87baca",2,15,13.33,10.8
"https://agency.innergcomplete.com/schools/avedaarts-sciencesinstitutecorpuschristi-corpus-christi-991d925b",2,12,16.67,18.9
"https://agency.innergcomplete.com/schools/beca-beauty-educational-center-of-anaheim-anaheim-38c3d05a",2,44,4.55,4.9
"https://agency.innergcomplete.com/schools/bf-beauty-academy-dallas-4137c42c",2,11,18.18,3.4
"https://agency.innergcomplete.com/schools/coastal-bend-college-beeville-e8538fb9",2,53,3.77,7.4
"https://agency.innergcomplete.com/schools/collin-county-community-college-district-plano-b5b8470b",2,45,4.44,8.5
"https://agency.innergcomplete.com/schools/cypress-springs-high-school-cypress-732e123d",2,11,18.18,6.6
"https://agency.innergcomplete.com/schools/dallas-blends-barber-academy-dallas-dfceff0f",2,23,8.70,13.4
"https://agency.innergcomplete.com/schools/dapper-g-barber-college-san-antonio-e9c997f8",2,65,3.08,10.9
"https://agency.innergcomplete.com/schools/el-paso-beauty-and-barber-academy-el-paso-a8d55597",2,23,8.70,9.6
"https://agency.innergcomplete.com/schools/ez-barber-cosmetology-school-san-bernardino-c3352572",2,53,3.77,4.8
"https://agency.innergcomplete.com/schools/genesis-beauty-academy-san-bernardino-3b1103b9",2,41,4.88,5.5
"https://agency.innergcomplete.com/schools/interstate-barber-school-wichita-falls-c6479cf5",2,9,22.22,5.4
"https://agency.innergcomplete.com/schools/joshua-isd-tx-16cf5ef7",2,15,13.33,6.2
"https://agency.innergcomplete.com/schools/keller-center-for-advanced-keller-179ed02e",2,22,9.09,8.7
"https://agency.innergcomplete.com/schools/kisd-career-center-cosmetology-killeen-4d7dacdb",2,23,8.70,5.2
"https://agency.innergcomplete.com/schools/lamar-state-college-port-arthur-port-arthur-54b91944",2,84,2.38,9.1
"https://agency.innergcomplete.com/schools/m-y-barber-school-cleveland-7830a674",2,57,3.51,4.9
"https://agency.innergcomplete.com/schools/marqblendz-barber-academy-co-plano-069f1311",2,47,4.26,4.9
"https://agency.innergcomplete.com/schools/mc-kinney-high-school-mckinney-5f684986",2,14,14.29,7.1
"https://agency.innergcomplete.com/schools/mclennan-community-college-waco-11d20c34",2,55,3.64,7.1
"https://agency.innergcomplete.com/schools/modern-beauty-institute-of-cosmetology-weslaco-e9998103",2,45,4.44,5.6
"https://agency.innergcomplete.com/schools/next-level-barber-institute-llc-bay-city-0511dd0a",2,46,4.35,7.9
"https://agency.innergcomplete.com/schools/nu-beauty-school-plano-a8fb30be",2,50,4.00,6.0
"https://agency.innergcomplete.com/schools/odessa-college-odessa-83edec6d",2,89,2.25,12.5
"https://agency.innergcomplete.com/schools/oz-barber-and-piercing-academy-dallas-5bd68eba",2,93,2.15,11.0
"https://agency.innergcomplete.com/schools/panola-college-carthage-45f93424",2,60,3.33,7.8
"https://agency.innergcomplete.com/schools/paul-mitchell-the-school-austin-austin-5390a711",2,70,2.86,13.7
"https://agency.innergcomplete.com/schools/poteet-high-school-cosmetology-poteet-4270d41d",2,15,13.33,6.8
"https://agency.innergcomplete.com/schools/r-c-beauty-college-pflugerville-d6d0609e",2,54,3.70,9.4
"https://agency.innergcomplete.com/schools/ratteree-cdc-irving-2b0b4340",2,21,9.52,4.9
"https://agency.innergcomplete.com/schools/seguin-beauty-school-seguin-41605160",2,34,5.88,11.4
"https://agency.innergcomplete.com/schools/the-salon-professional-academy-lewisville-e10a39ea",2,63,3.17,10.4
"https://agency.innergcomplete.com/schools/tonsore-master-academy-san-antonio-35a8bcc0",2,12,16.67,6.3
"https://agency.innergcomplete.com/schools/trimsetters-barber-academy-inc-greenville-debff1d8",2,50,4.00,6.3
"https://agency.innergcomplete.com/schools/wichita-falls-career-education-center-wichita-falls-43dfb425",2,35,5.71,8.4
"https://agency.innergcomplete.com/shop/big-a-s-barbershop-pasadena-68347a7a",2,44,4.55,3.0
"https://agency.innergcomplete.com/shop/johnthebaptizedbarber-league-city-fc0d9ff3",2,4,50.00,4.0
"https://agency.innergcomplete.com/shop/lel-barber-shop-conroe-b811f71e",2,10,20.00,3.8
"https://agency.innergcomplete.com/shop/machos-barbershop-katy-ba1765e7",2,118,1.69,9.6
"https://agency.innergcomplete.com/shop/momo-the-barber-sf-san-francisco-283b118b",2,223,0.90,3.3
